Observation,Open,High,Low,Close,Adj Close,Volume
1,3.03,3.03,2.925,2.98,0.595425,350000
2,2.98,3.025,2.95,2.975,0.594426,412000
3,2.975,2.995,2.95,2.985,0.596424,284000
4,2.985,2.98,2.94,2.965,0.592428,282000
5,2.965,2.98,2.95,2.96,0.591429,189000
6,2.96,2.95,2.91,2.925,0.584436,237000
7,2.925,2.925,2.8,2.83,0.565454,483000
8,2.83,2.865,2.81,2.84,0.567452,226000
9,2.84,2.88,2.8,2.83,0.565454,318000
10,2.83,2.835,2.8,2.825,0.564455,431000
11,2.825,2.815,2.775,2.79,0.557462,181000
12,2.79,2.8,2.74,2.74,0.547471,358000
13,2.74,2.795,2.63,2.655,0.530488,429000
14,2.655,2.655,2.6,2.64,0.527490999999999,330000
15,2.64,2.63,2.535,2.555,0.510506999999999,426000
16,2.555,2.59,2.52,2.545,0.508509,359000
17,2.545,2.6,2.51,2.53,0.505512,399000
18,2.53,2.53,2.45,2.465,0.492523999999999,449000
19,2.465,2.45,2.41,2.435,0.48653,390000
20,2.435,2.495,2.395,2.485,0.496519999999999,311000
21,2.485,2.55,2.485,2.52,0.503514,452000
22,2.52,2.635,2.55,2.59,0.5175,344000
23,2.59,2.8,2.6,2.78,0.555463,424000
24,2.78,2.995,2.8,2.915,0.582438,819000
25,2.915,3.1,2.95,2.995,0.598422,906000
26,2.995,3.05,2.95,2.975,0.594426,888000
27,2.975,2.925,2.825,2.865,0.572447,586000
28,2.865,3.15,2.885,3.045,0.608412,667000
29,3.045,3.655,3.35,3.65,0.729296,1720000
30,3.65,3.795,3.45,3.51,0.701322999999999,2851000
31,3.6,3.6,3.325,3.45,0.689334,1451000
32,3.45,3.8,3.59,3.71,0.741284,2464000
33,3.71,3.77,3.67,3.685,0.736289,1191000
34,3.685,3.675,3.51,3.56,0.711313,1396000
35,3.56,3.65,3.5,3.515,0.702322,1297000
36,3.515,3.515,3.305,3.365,0.672351,1361000
37,3.365,3.475,3.4,3.425,0.684339,848000
38,3.425,3.5,3.4,3.42,0.68334,687000
39,3.42,3.475,3.375,3.385,0.676347,647000
40,3.39,3.425,3.3,3.395,0.678345,841000
41,3.395,3.445,3.305,3.325,0.664358,422000
42,3.3,3.3,3,3.065,0.612409,1275000
43,3.065,3.15,3,3.11,0.6214,732000
44,3.11,3.1,3.05,3.065,0.612409,647000
45,3.065,3.15,3.08,3.1,0.619402,360000
46,3.1,3.15,3.025,3.06,0.611409,486000
47,3.06,3.07,3,3.05,0.609410999999999,387000
48,3.05,3.045,2.975,2.995,0.598422,324000
49,2.995,2.995,2.93,2.955,0.59043,400000
50,2.955,3.1,3,3.08,0.615406,486000
51,3.08,3.15,3.045,3.07,0.613408,529000
52,3.1,3.1,3,3,0.599421,807000
53,3,3.025,2.93,2.985,0.596424,388000
54,2.985,3,2.9,2.955,0.59043,617000
55,2.955,3.015,2.95,3.005,0.60042,643000
56,3.005,3.02,2.935,2.995,0.598422,194000
57,2.995,3.05,2.98,3.025,0.604416,413000
58,3.025,3.08,2.98,3.045,0.608412,643000
59,3.045,3.11,3.03,3.1,0.619402,795000
60,3.1,3.275,3.13,3.21,0.641381,1124000
61,3.21,3.31,3.2,3.245,0.648374,1356000
62,3.245,3.3,3.24,3.29,0.657365,963000
63,3.29,3.45,3.28,3.4,0.679344,1835000
64,3.4,3.6,3.4,3.49,0.697327,2082000
65,3.49,3.455,3.35,3.405,0.680343,1134000
66,3.405,3.47,3.41,3.45,0.689334,925000
67,3.45,3.46,3.355,3.385,0.676347,1219000
68,3.385,3.46,3.24,3.285,0.656366,904000
69,3.25,3.34,3.25,3.335,0.666357,631000
70,3.335,3.385,3.28,3.35,0.669354,564000
71,3.41,3.455,3.375,3.425,0.684339,988000
72,3.42,3.435,3.36,3.375,0.674349,783000
73,3.375,3.525,3.425,3.505,0.700324,1546000
74,3.55,3.695,3.505,3.655,0.730295,2706000
75,3.7,4.025,3.625,3.845,0.768258,6350000
76,4,4.1,3.705,3.77,0.753273,5643000
77,3.77,3.79,3.63,3.71,0.741284,3214000
78,3.895,4.05,3.8,3.845,0.768258,5343000
79,3.9,3.9,3.61,3.685,0.736289,3333000
80,3.685,3.795,3.625,3.7,0.739286,2039000
81,3.7,3.735,3.64,3.685,0.736289,1350000
82,3.685,3.7,3.505,3.545,0.708316,2701000
83,3.545,3.775,3.61,3.625,0.7243,1662000
84,3.68,3.68,3.545,3.565,0.712312,1170000
85,3.565,3.57,3.49,3.5,0.699325,1779000
86,3.5,3.5,3.35,3.38,0.675348,1360000
87,3.38,3.44,3.35,3.415,0.682341,1821000
88,3.2,3.5,3.2,3.485,0.696327,1617000
89,3.485,3.495,3.38,3.405,0.680343,1115000
90,3.405,3.395,3.24,3.385,0.676347,1371000
91,3.385,3.425,3.35,3.42,0.68334,712000
92,3.485,3.485,3.375,3.425,0.684339,1192000
93,3.425,3.5,3.4,3.48,0.695328,1608000
94,3.48,3.67,3.515,3.575,0.71431,2671000
95,3.55,3.55,3.475,3.53,0.705318999999999,1385000
96,3.475,3.48,3.4,3.405,0.680343,933000
97,3.4,3.4,3.325,3.335,0.666357,1644000
98,3.335,3.42,3.37,3.375,0.674349,645000
99,3.4,3.4,3.335,3.35,0.669354,361000
100,3.35,3.4,3.35,3.385,0.676347,473000
101,3.385,3.385,3.325,3.34,0.667355,1362000
102,3.34,3.4,3.3,3.39,0.677346,1390000
103,3.39,3.45,3.395,3.445,0.688335,1314000
104,3.5,3.5,3.375,3.41,0.681342,804000
105,3.41,3.43,3.37,3.415,0.682341,486000
106,3.415,3.5,3.415,3.45,0.689334,766000
107,3.45,3.475,3.375,3.4,0.679344,1698000
108,3.4,3.45,3.39,3.405,0.680343,437000
109,3.445,3.46,3.405,3.435,0.686337,622000
110,3.42,3.445,3.405,3.435,0.686337,405000
111,3.465,3.465,3.425,3.44,0.687336,860000
112,3.47,3.47,3.4,3.43,0.685338,1054000
113,3.45,3.545,3.44,3.51,0.701322999999999,1657000
114,3.51,3.88,3.5,3.875,0.774252,7320000
115,3.925,4.17,3.925,4.045,0.808219999999999,9036000
116,4.05,4.13,3.85,3.87,0.773253,6812000
117,3.85,3.9,3.75,3.83,0.765261,4708000
118,3.935,3.95,3.775,3.8,0.759267,3422000
119,3.75,3.8,3.7,3.765,0.752274,2981000
120,3.7,3.765,3.655,3.68,0.73529,2364000
121,3.71,3.71,3.6,3.66,0.731294,1931000
122,3.675,3.68,3.61,3.64,0.727298,4000000
123,3.85,4.025,3.85,3.915,0.782243999999999,14061000
124,3.91,3.945,3.805,3.93,0.785242,7982000
125,3.96,4.05,3.91,3.99,0.79723,14959000
126,4.01,4.025,3.875,3.905,0.780246,11334000
127,3.925,3.98,3.875,3.895,0.778247999999999,6039000
128,3.875,3.9,3.83,3.855,0.770256,7855000
129,3.83,3.91,3.775,3.86,0.771255,9477000
130,3.855,3.91,3.85,3.855,0.770256,3069000
131,3.93,3.93,3.855,3.875,0.774252,1927000
